file_name,PAI_tree_only,slices_occupied,crown_height_m,elapsed_s,tag,PAI_combined,sbpltnm,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,infest_cat,infest_bin,dbh_cm,log_dbh
BEILPE_2496,7.57301345889412,312,15.65,1.23416090011597,2496,10.5701429980276,72,Beilschmiedia pendula,515,3513,24,0,100,NA,None,None,51.5,3.9415818076696905
BEILPE_28496,2.90169824202082,207,10.45,0.233934164047241,28496,4.380513478819,94,Beilschmiedia pendula,411,4617,41,0,100,NA,None,None,41.1,3.716008121502189
BEILPE_29020,8.7093257359924,294,14.7,0.421890020370483,29020,11.6536390827517,91,Beilschmiedia pendula,204,4620,23,0,100,NA,None,None,20.4,3.0155349008501706
BEILPE_29258,8.91748345740281,420,21,0.373942136764526,29258,14.1794460056202,91,Beilschmiedia pendula,265,4621,32,0,30,NA,None,None,26.5,3.2771447329921766
BEILPE_56972,3.62709297839506,257,12.85,0.160388946533203,56972,10.5075,77,Beilschmiedia pendula,298,4020,24,10,85,NA,Light,Infested,29.8,3.3945083935113587
BEILPE_620,2.39076040839789,310,15.5,0.510448932647705,620,4.16690476190476,91,Beilschmiedia pendula,678,4621,22,0,100,NA,None,None,67.8,4.216562194946349
BEILPE_681,3.58365478914678,211,10.6,0.545429944992065,681,5.13475524475525,91,Beilschmiedia pendula,448,4520,42,100,100,NA,Heavy,Infested,44.8,3.8022081394209395
BEILPE_82848,6.78997867803838,252,12.6,0.287952184677124,82848,10.8752870264064,69,Beilschmiedia pendula,359,3517,42,0,25,NA,None,None,35.9,3.580737295494233
BEILPE_87763,4.47009230769231,171,8.55,0.396874904632568,87763,7.31390565615918,68,Beilschmiedia pendula,232,3415,43,20,90,NA,Light,Infested,23.2,3.1441522786722644
BROSAL_2173,3.64303206048314,383,19.15,2.19941592216492,2173,5.09349264365689,74,Brosimum alicastrum,685,3711,41,0,100,NA,None,None,68.5,4.22683374526818
BROSAL_3681,1.38948326076811,601,30.15,1.04008102416992,3681,3.11206774376417,58,Brosimum alicastrum,885,2805,23,0,100,NA,None,None,88.5,4.483002552013883
BROSAL_4524,2.02995958272495,516,25.85,3.0533549785614,4524,5.50434141528364,49,Brosimum alicastrum,1200,2316,23,0,100,NA,None,None,120,4.787491742782046
BROSAL_6193,0.924894873038978,307,15.4,0.23484206199646,6193,1.52122365662584,24,Brosimum alicastrum,725,1310,13,0,100,NA,None,None,72.5,4.283586561860629
CASEAR_82237,3.46551724137931,211,10.55,0.342519044876099,82237,5.09055555555556,72,Casearia arborea,278,3513,21,0,100,NA,None,None,27.8,3.3250360206965914
CASESY_147565,1.43440417787625,196,9.8,0.109190940856934,147565,5.80297339593114,49,Casearia sylvestris,213,2316,14,75,5,NA,Heavy,Infested,21.3,3.0587070727153796
CASSEL_1277,1.81774370208105,238,11.9,0.217207193374634,1277,4.46692449780651,82,Cassipourea elliptica,300,4214,11,5,5,NA,Light,Infested,30,3.4011973816621555
CASSEL_263536,9.66024185652669,330,16.5,1.3333420753479,263536,12.9418206075534,1,Cassipourea elliptica,206,20,34,0,50,NA,None,None,20.6,3.0252910757955354
CAVAPL_3031,0.651142857142857,130,6.55,0.100152969360352,3031,0.944019832189169,65,Cavanillesia platanifolia,662,3211,13,0,10,NA,None,None,66.2,4.192680462942962
CAVAPL_3603,0.75778801843318,360,18,0.386894941329956,3603,1.32096452770028,58,Cavanillesia platanifolia,1325,2906,21,0,100,NA,None,None,132.5,4.886582645426277
