fid,sbpltnm,tag,species,quadrnt,tag6,lianas_2019,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority
480,91,029289,Protium panamense,4621,029289,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8466945731885,9.15490003273038,NA
646,90,031251,Virola sebifera,4506,031251,100,NA,NA,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.846953244751,9.15218455917536,completed
330,90,031319,Lacmellea panamensis,4507,031319,10,NA,NA,01450285,NA,NA,NA,NA,Direct,NA,NA,NA,NA,NA,scrambling,-79.8470261322565,9.15228487228754,completed
729,90,031343,Celtis schippii,4507,031343,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8470647536802,9.15237582647976,NA
348,90,031384,Hirtella triandra,4507,031384,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8469847223261,9.15232231461705,NA
8,90,031454,Protium tenuifolium,4507,031454,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468938103257,9.15226751205037,NA
213,91,034035,Trichilia tuberculata,4520,034035,0,NA,NA,01450755,NA,NA,NA,NA,Direct,scrambling,adhesive_roots,NA,NA,NA,NA,-79.8469727893966,9.15475968504142,completed
67,91,034060,Poulsenia armata,4520,034060,0,NA,NA,NA,NA,NA,NA,NA,Direct,NA,NA,NA,NA,NA,adhesive_roots,-79.8469124405758,9.1547159196436,completed
231,91,034090,Virola surinamensis,4520,034090,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8469081173693,9.15460808351962,NA
92,91,034186,Protium tenuifolium,4520,034186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468348760336,9.15461906003928,NA
127,91,034303,Quararibea asterolepis,4521,034303,0,broken crown,Uninfested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8468559958333,9.1548424134062,completed
237,83,036081,Xylopia macrantha,4406,036081,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.847080724998,9.15213388028647,NA
142,83,036153,Sloanea terniflora,4407,036153,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8471317871827,9.15225875678198,NA
318,83,036175,Xylopia macrantha,4407,036175,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.847138839982,9.15239202674962,NA
91,82,039422,Protium tenuifolium,4314,039422,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8472482066561,9.15353064565744,NA
577,83,040963,Nectandra cissiflora,4306,040963,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474357239174,9.15208674375789,NA
238,83,040999,Xylopia macrantha,4306,040999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474087692883,9.15217808760998,NA
696,83,041007,Beilschmiedia pendula,4306,041007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8474199762747,9.15222101513213,NA
122,83,041015,Quararibea asterolepis,4306,041015,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8473591107828,9.15224238457779,completed
621,83,041072,Tetragastris panamensis,4306,041072,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8473628400231,9.15208777923478,NA
236,83,041119,Xylopia macrantha,4306,041119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8472992496554,9.15221040044793,NA
88,83,041150,Prioria copaifera,4307,041150,0,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,adhesive_roots,NA,NA,NA,NA,-79.8474143589695,9.1522760150279,completed
2,83,041183,Heisteria concinna,4307,041183,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.847422517263,9.15242923161793,NA
475,82,042250,Poulsenia armata,4314,042250,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8473667606581,9.15362714860988,NA
230,82,042267,Virola surinamensis,4314,042267,0,NA,Not infested in crown but lianas on trunk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8473570186066,9.15367023827789,completed
49,82,042275,Macrocnemum roseum,4314,042275,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.847310409518,9.15364958294831,completed
87,82,042366,Prioria copaifera,4315,042366,0,NA,NA,NA,NA,NA,NA,NA,Direct,twining,adhesive_roots,twining,NA,NA,NA,-79.8473334099826,9.15379518215476,completed
316,59,043966,Virola sebifera,2912,043966,5,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8498640746307,9.15336005877886,completed
89,68,044694,Protium costaricense,3315,044694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491437964538,9.15389284731895,NA
601,77,056933,Quararibea asterolepis,4020,056933,100,NA,NA,01400891,01400893,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8478617541169,9.1546265122085,completed
117,77,056970,Quararibea asterolepis,4020,056970,0,NA,Not infested but hard to see all of crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8478302555898,9.1547937063643,completed
324,77,056972,Beilschmiedia pendula,4020,056972,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8478156719487,9.15479409425056,NA
274,77,057029,Heisteria concinna,4020,057029,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8477683155945,9.15476888791083,NA
674,77,057043,Alseis blackiana,4020,057043,0,NA,Potentially some lateral spread but not visible,NA,NA,NA,NA,NA,Direct,adhesive_roots,NA,NA,NA,NA,NA,-79.8477210878249,9.15471472946027,completed
116,77,057057,Quararibea asterolepis,4020,057057,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8477237818724,9.15466505570935,completed
118,77,057063,Quararibea asterolepis,4020,057063,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8477452183701,9.15465133755818,completed
227,77,057083,Virola sebifera,4021,057083,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8478470504923,9.15488388711008,dead
430,77,058410,Trichilia tuberculata,4020,058410,70,NA,Tree looks like it’s potentially being dragged down by lianas,01400948,NA,NA,NA,NA,Both,scrambling,twining,adhesive_roots,NA,NA,NA,-79.8477483418123,9.15479261196344,completed
775,77,058414,Heisteria concinna,4021,058414,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8478481239791,9.15493007453548,dead
18,77,063940,Trichilia tuberculata,3920,063940,25,NA,NA,01390813,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8479946005744,9.15473076057328,completed
312,77,063996,Trichilia tuberculata,3920,063996,5,NA,Trunk smothered with lianas,NA,NA,NA,NA,NA,Direct,adhesive_roots,adhesive_roots,adhesive_roots,NA,NA,NA,-79.8479016132644,9.15478447224627,completed
220,77,064026,Triplaris cumingiana,3920,064026,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8479127800846,9.15462560667415,NA
207,77,064084,Trichilia tuberculata,3921,064084,0,NA,"Crown not visible but lianas climbing up trunk, very close to other tree, don’t think they are infested in their crowns though as lianas stop partway up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8480583674849,9.15498367797992,completed
140,77,064105,Simarouba amara,3921,064105,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.848000356534,9.154925517982,NA
45,77,064185,Lonchocarpus heptaphyllus,3921,064185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.847954330444,9.15486325803467,NA
40,74,066921,Lacmellea panamensis,3810,066921,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8483062418148,9.15299988212354,NA
355,74,066983,Drypetes standleyi,3810,066983,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.848204608987,9.15288859612511,NA
