fid,sbpltnm,tag,species,quadrnt,tag6,lianas_2019,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority
639,69,087981,Triplaris cumingiana,3417,087981,100,broken crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.848970175172,9.15426493947772,NA
525,69,088029,Alseis blackiana,3417,088029,100,NA,Very highly infested,01340591,21269,NA,NA,NA,Both,NA,NA,NA,NA,NA,scrambling,-79.8489204132894,9.15417992434088,completed
670,69,088116,Alseis blackiana,3417,088116,0,NA,90% sure this is correct tree (tag inaccessable),NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,scrambling,-79.8488231706599,9.15422534205103,completed
398,65,092228,Trichilia tuberculata,3311,092228,45,NA,NA,01330191,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8492075561767,9.15315671130816,completed
472,65,092240,Guapira standleyana,3311,092240,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491842711155,9.15322194317599,NA
224,65,092241,Virola sebifera,3312,092241,0,NA,Crown not visible -  no direct but maybe lateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491578002897,9.15322371927245,completed
637,65,092300,Triplaris cumingiana,3311,092300,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491151817039,9.15309190333522,NA
325,65,092306,Guatteria dumetorum,3311,092306,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491084588279,9.15310161887935,NA
638,65,092317,Triplaris cumingiana,3311,092317,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8490971908731,9.15316184756862,NA
413,65,092320,Quararibea asterolepis,3311,092320,50,NA,NA,16379,NA,NA,NA,NA,Both,scrambling,twining,scrambling,NA,NA,NA,-79.8490917983708,9.15313450923562,completed
9,65,092372,Hirtella triandra,3312,092372,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491990825755,9.15324056620446,NA
197,65,092451,Trichilia tuberculata,3312,092451,0,NA,Potential lateral spread but not visible,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8491681012711,9.1533426263396,completed
225,65,092519,Virola sebifera,3312,092519,0,NA,Crown not visible/ lateral infestation cannot be determined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.849166180673,9.15324392409354,completed
343,65,092568,Trichilia tuberculata,3312,092568,10,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,twining,twining,twining,NA,NA,-79.8490732292956,9.15337274376911,completed
382,68,092951,Guarea guidonia,3314,092951,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491333920405,9.15362462875656,NA
317,68,093038,Xylopia macrantha,3314,093038,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8490382607198,9.15366197666045,NA
653,68,093079,Alchornea costaricensis,3315,093079,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.849180625849,9.15383081011005,NA
346,68,093143,Guarea guidonia,3315,093143,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8491364834003,9.15376680728605,NA
456,68,093156,Prioria copaifera,3315,093156,80,NA,NA,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,scrambling,-79.8490847115616,9.15378849955062,completed
721,65,097121,Cecropia insignis,3211,097121,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8493611871635,9.15321464143539,NA
754,65,097189,Guarea guidonia,3211,097189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8493342223746,9.15305261372978,NA
669,65,097203,Alseis blackiana,3211,097203,0,NA,Low levels/ hard to see crown,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8492742012893,9.15307582282079,completed
109,65,097226,Quararibea asterolepis,3211,097226,0,NA,Uninfested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.849305222811,9.15317555655108,completed
6,65,097320,Hirtella triandra,3212,097320,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8493565803893,9.15334297360709,NA
361,65,097348,Hirtella triandra,3212,097348,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8493079912763,9.15335210988834,NA
198,65,097370,Trichilia tuberculata,3212,097370,0,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,NA,NA,NA,NA,NA,-79.8493404349735,9.15326005548987,completed
498,65,097438,Tachigali versicolor,3212,097438,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8493025367889,9.15340259079921,NA
450,64,099448,Gustavia superba,3223,099448,80,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,adhesive_roots,NA,NA,NA,NA,-79.8493228809945,9.15527102089725,completed
406,64,099449,Gustavia superba,3223,099449,50,NA,Scrambler being held in place by adhesive roots of others,01320752,NA,NA,NA,NA,Both,scrambling,adhesive_roots,adhesive_roots,adhesive_roots,NA,NA,-79.8493148258014,9.15526711600227,completed
390,64,099474,Alseis blackiana,3223,099474,30,NA,Tree leaning significantly and Liana roots hanging off,NA,NA,NA,NA,NA,Both,adhesive_roots,NA,NA,NA,NA,NA,-79.8492932285053,9.15531068976801,completed
635,64,099492,Trichilia tuberculata,3223,099492,100,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8492666949668,9.1553649485529,completed
400,64,099532,Alseis blackiana,3223,099532,50,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.849277733465,9.15526037134478,completed
486,64,099567,Trichilia tuberculata,3223,099567,90,NA,NA,NA,NA,NA,NA,NA,Both,scrambling,NA,NA,NA,NA,NA,-79.8492044291412,9.15532383054052,completed
634,64,099598,Trichilia tuberculata,3223,099598,100,NA,NA,NA,NA,NA,NA,NA,Both,twining,scrambling,NA,NA,NA,NA,-79.8491642528884,9.15535226718122,completed
16,64,099708,Trichilia tuberculata,3224,099708,25,NA,NA,NA,NA,NA,NA,NA,Both,scrambling,scrambling,scrambling,adhesive_roots,adhesive_roots,NA,-79.8492995059325,9.15554166114551,completed
644,64,099804,Virola sebifera,3224,099804,100,NA,NA,1320793,20688,NA,NA,NA,Both,scrambling,twining,scrambling,scrambling,adhesive_roots,NA,-79.8491894650052,9.15553776068786,completed
466,64,099837,Alseis blackiana,3224,099837,90,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8491436967398,9.15544293379068,completed
600,64,104535,Quararibea asterolepis,3123,104535,100,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8494928152968,9.15528066473724,completed
356,64,104598,Eugenia oerstediana,3123,104598,20,NA,NA,NA,NA,NA,NA,NA,Both,twining,twining,twining,adhesive_roots,adhesive_roots,NA,-79.8494504300868,9.15529454516161,completed
266,64,104601,Gustavia superba,3123,104601,5,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8494227565861,9.15527908610611,completed
558,64,104694,Gustavia superba,3123,104694,100,NA,NA,01310870,NA,NA,NA,NA,Both,NA,NA,NA,NA,scrambling,NA,-79.8493330813646,9.1553166273716,completed
519,64,104704,Alseis blackiana,3123,104704,100,NA,NA,01310872,NA,NA,NA,NA,Both,twining,scrambling,scrambling,scrambling,NA,NA,-79.8493352894235,9.15530584656353,completed
378,64,104741,Alseis blackiana,3124,104741,25,NA,A big mix of strategies so hard to determine one,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8494937648161,9.1554571529934,completed
633,64,104768,Trichilia tuberculata,3124,104768,100,NA,NA,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,scrambling,-79.8494948742355,9.15557844943008,completed
616,64,104784,Tachigali versicolor,3124,104784,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8494520948248,9.15550182600466,NA
396,64,104815,Gustavia superba,3124,104815,45,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.849433449233,9.15543782186608,completed
521,64,104870,Alseis blackiana,3124,104870,100,NA,NA,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,adhesive_roots,-79.8493371821739,9.15553213881392,completed
342,64,104880,Trichilia tuberculata,3124,104880,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8493279888152,9.1554838531302,dead
753,58,110995,Guarea guidonia,2905,110995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.849977409054,9.15215603788995,NA
615,59,112468,Tachigali versicolor,2912,112468,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8499169539356,9.15340898825947,NA
564,59,112501,Hirtella triandra,2913,112501,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8499285224629,9.1535433232332,NA
328,59,112521,Hirtella triandra,2913,112521,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8499079321338,9.15358421863726,NA
663,58,115787,Alseis blackiana,2805,115787,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8501642314115,9.15215180140576,completed
606,58,116119,Swartzia simplex,2806,116119,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8500127827334,9.15223601793886,NA
107,59,117057,Quararibea asterolepis,2812,117057,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8500949039295,9.15327141726404,completed
196,59,117281,Trichilia tuberculata,2813,117281,0,NA,Uninfested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8500379453506,9.15351372069213,completed
565,59,117329,Hirtella triandra,2813,117329,100,NA,NA,01280510,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.84999367817,9.15358001908861,completed
460,59,117371,Trichilia tuberculata,2813,117371,80,NA,Some lianas attached have tags that are unlike the other tags.,NA,NA,NA,NA,NA,Both,twining,twining,scrambling,twining,NA,NA,-79.8499646679762,9.15344959069506,completed
272,51,141568,Heisteria concinna,2408,141568,5,NA,NA,01240262,NA,NA,NA,NA,Direct,prehensile_branches,prehensile_branches,prehensile_branches,prehensile_branches,prehensile_branches,NA,-79.8508680865895,9.15268530320432,completed
748,51,141770,Eugenia oerstediana,2409,141770,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8508312263044,9.15277358195172,NA
166,51,141788,Terminalia oblonga,2409,141788,0,NA,Liana on trunk but not reaching crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8508301884643,9.15280250232523,completed
481,51,141879,Quararibea asterolepis,2409,141879,90,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,twining,twining,twining,twining,NA,-79.8507526899064,9.15275450982736,completed
720,51,141903,Cecropia insignis,2409,141903,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8507791339456,9.1528803232598,NA
164,51,146382,Tachigali versicolor,2308,146382,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.851038242449,9.15258727155612,NA
470,51,146461,Eugenia oerstediana,2308,146461,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8509611412731,9.15270579540441,dead
457,51,146465,Quararibea asterolepis,2308,146465,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8509548090487,9.15273000273437,dead
442,51,146653,Allophylus psilospermus,2309,146653,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8509941752033,9.15274949614301,NA
86,51,146718,Prioria copaifera,2309,146718,0,NA,NA,NA,NA,NA,NA,NA,Direct,NA,NA,NA,NA,NA,adhesive_roots,-79.850908988681,9.15291569272205,completed
432,49,147565,Casearia sylvestris,2316,147565,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8510025876087,9.15416415008378,NA
462,49,147639,Heisteria concinna,2316,147639,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8508930617684,9.15406977803571,NA
302,49,147736,Terminalia amazonia,2317,147736,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8509972376012,9.15436394292605,NA
362,47,150473,Poulsenia armata,2202,150473,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8511061703504,9.15148117898276,NA
159,47,150579,Tabernaemontana arborea,2203,150579,0,NA,Crown not infested but lianas climbing directly up trunk to first branch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8511752035171,9.15179038640786,completed
411,49,152470,Protium tenuifolium,2216,152470,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8510140464447,9.15402248724926,NA
241,40,155462,Zanthoxylum ekmanii,2103,155462,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8513790151956,9.15184556993363,NA
30,40,155537,Jacaranda copaia,2103,155537,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8513390005294,9.15184415173776,completed
31,40,155636,Jacaranda copaia,2104,155636,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8513013242881,9.15185367505501,completed
29,40,155642,Jacaranda copaia,2104,155642,0,NA,NA,NA,NA,NA,NA,NA,Direct,prehensile_branches,NA,NA,NA,NA,NA,-79.8512847288115,9.15188475842284,completed
452,40,155646,Jacaranda copaia,2104,155646,80,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8512738169758,9.151909709014,completed
19,58,159457,Inga marginata,2906,159457,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8498149189607,9.15226881951602,NA
279,40,160276,Inga marginata,2003,160276,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8515860066243,9.15183752323608,NA
51,40,160651,Nectandra cissiflora,2003,160651,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8515073741999,9.15184649989201,NA
684,40,160704,Aspidosperma spruceanum,2004,160704,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8515943560962,9.15188396898483,NA
631,40,160706,Trichilia tuberculata,2004,160706,100,NA,NA,NA,NA,NA,NA,NA,Both,twining,twining,scrambling,NA,NA,NA,-79.8516012412187,9.15186973467715,completed
731,40,160715,Chrysophyllum argenteum,2004,160715,0,broken crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8515948463021,9.1519464243427,NA
223,40,160756,Virola sebifera,2004,160756,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8515420682926,9.15197079551771,completed
516,40,160825,Alseis blackiana,2004,160825,100,NA,NA,15894,01210102,11229,15896,NA,Both,NA,NA,NA,NA,NA,twining,-79.8514681459279,9.15200075165131,completed
341,36,166107,Trichilia tuberculata,1907,166107,10,NA,NA,NA,NA,NA,NA,NA,Both,twining,NA,NA,NA,NA,NA,-79.8517131299806,9.15248179216216,completed
310,36,166172,Trichilia tuberculata,1907,166172,5,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8516331053602,9.15258030394097,completed
178,36,166315,Tocoyena pittieri,1908,166315,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8516758184405,9.15263339739844,NA
192,36,166340,Trichilia tuberculata,1908,166340,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8516142425358,9.15275066166487,completed
283,36,171064,Posoqueria latifolia,1807,171064,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8519199585309,9.15245292674144,NA
557,36,171070,Gustavia superba,1807,171070,100,NA,NA,01180269,01180264,NA,NA,NA,Direct,NA,NA,NA,NA,NA,scrambling,-79.8518750710735,9.15243504745907,completed
294,36,171109,Quararibea asterolepis,1807,171109,5,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8518461695759,9.15255527978598,completed
605,36,171240,Swartzia simplex,1808,171240,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8518963918621,9.15272899036695,NA
5,31,176101,Pouteria reticulata,1707,176101,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8521415374089,9.15252050334236,NA
173,31,176109,Tetragastris panamensis,1707,176109,0,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8521175371485,9.15255494365912,completed
433,31,176143,Chrysophyllum argenteum,1707,176143,75,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,NA,NA,NA,NA,NA,-79.85210626419,9.15251382354804,completed
222,28,180817,Trophis racemosa,1604,180817,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8523401529627,9.15193392926903,NA
531,28,180862,Apeiba membranacea,1604,180862,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522863408969,9.15206323236085,NA
280,28,180870,Jacaranda copaia,1604,180870,5,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8522941019159,9.15202459718241,completed
335,28,180878,Tabernaemontana arborea,1604,180878,10,NA,NA,NA,NA,NA,NA,NA,Direct,twining,NA,NA,NA,NA,NA,-79.852279745041,9.15201865863693,completed
24,28,180904,Jacaranda copaia,1604,180904,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8523120565435,9.15190488172705,completed
23,28,180910,Jacaranda copaia,1604,180910,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8523019882258,9.15190633443624,completed
285,28,180919,Prioria copaifera,1604,180919,5,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522728549628,9.15193154399472,completed
165,28,180934,Terminalia oblonga,1604,180934,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522555799713,9.15200694333516,NA
584,28,180965,Pouteria stipitata,1604,180965,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522018289395,9.15205842730812,NA
636,28,181039,Triplaris cumingiana,1605,181039,100,broken crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8523480599261,9.15222106231796,NA
27,31,181416,Jacaranda copaia,1607,181416,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522553494929,9.15259692935854,completed
174,31,181485,Tetragastris panamensis,1607,181485,0,NA,NA,NA,NA,NA,NA,NA,Both,adhesive_roots,NA,NA,NA,NA,NA,-79.8522086379964,9.15247763624993,completed
144,31,181499,Spondias mombin,1607,181499,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522239075291,9.15255961864776,NA
180,31,181524,Trattinnickia aspera,1607,181524,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8522283249383,9.15256339480314,NA
513,31,181579,Alseis blackiana,1608,181579,100,NA,NA,10049,01160408,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8523186555676,9.15265980102954,completed
587,31,181632,Prioria copaifera,1608,181632,100,NA,NA,NA,NA,NA,NA,NA,Both,twining,twining,prehensile_branches,twining,NA,NA,-79.8522553530861,9.15267294012626,completed
514,31,181662,Alseis blackiana,1608,181662,100,NA,NA,NA,NA,NA,NA,NA,Both,scrambling,scrambling,NA,NA,NA,NA,-79.8522349244982,9.15268397998251,completed
628,31,181738,Trichilia tuberculata,1608,181738,100,NA,NA,10079,01160482,01160484,01160486,01160483,Both,NA,NA,NA,NA,NA,twining,-79.8521610982532,9.15268588854373,completed
293,28,185883,Quararibea asterolepis,1504,185883,5,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8525346087652,9.15194534561754,completed
661,28,185884,Alseis blackiana,1504,185884,0,NA,Not infested but can’t see ALL of crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8525280169277,9.15197678372921,completed
25,28,185937,Jacaranda copaia,1504,185937,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8524633534986,9.15205321767102,completed
284,28,186009,Pouteria reticulata,1504,186009,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8524095976662,9.15200335297503,NA
78,28,186066,Pouteria stipitata,1505,186066,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8525342256252,9.15208287651039,NA
146,28,186116,Sterculia apetala,1505,186116,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8524708016503,9.15225165451048,NA
734,28,186159,Cordia bicolor,1505,186159,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8524432179189,9.15208146089155,NA
542,49,189893,Chrysophyllum argenteum,2316,189893,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8508407352203,9.15403082244353,NA
139,23,190910,Simarouba amara,1404,190910,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8526147989306,9.15191832587221,NA
368,23,190925,Protium tenuifolium,1404,190925,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8526310414931,9.15197319543242,NA
170,23,190972,Tetragastris panamensis,1404,190972,0,NA,NA,NA,NA,NA,NA,NA,Direct,twining,twining,NA,NA,NA,NA,-79.8525700419133,9.15192216878851,completed
566,23,191106,Hura crepitans,1405,191106,100,broken crown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8525722010321,9.15221724247657,NA
138,23,191155,Simarouba amara,1405,191155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.852543742834,9.15209678728734,NA
189,24,191898,Trichilia tuberculata,1410,191898,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.852609955858,9.15311895430353,completed
660,24,191977,Alseis blackiana,1410,191977,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8525232693314,9.15314936353446,completed
586,24,192034,Prioria copaifera,1411,192034,100,NA,NA,NA,NA,NA,NA,NA,Direct,NA,NA,NA,NA,NA,twining,-79.8526644979688,9.1532991525497,completed
188,24,192071,Trichilia tuberculata,1411,192071,0,NA,NA,NA,NA,NA,NA,NA,Both,scrambling,twining,NA,NA,NA,NA,-79.8526207158785,9.15330122074537,completed
322,24,192141,Alseis blackiana,1411,192141,10,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,scrambling,NA,NA,NA,NA,-79.8525503948597,9.15325619757722,completed
42,24,192153,Lonchocarpus heptaphyllus,1411,192153,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8525506582146,9.15332497962451,NA
365,24,192165,Pouteria reticulata,1411,192165,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8525249333821,9.15330596993395,NA
492,23,197229,Eugenia oerstediana,1304,197229,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.852807085294,9.1520663047697,NA
419,23,197245,Tetragastris panamensis,1304,197245,50,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,scrambling,twining,twining,NA,NA,-79.8527668079948,9.15202144255186,completed
613,23,197266,Tachigali versicolor,1304,197266,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8527430295902,9.15194820759879,NA
503,23,197345,Allophylus psilospermus,1305,197345,100,fallen tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.852837330007,9.15218772815883,NA
597,23,197469,Quararibea asterolepis,1305,197469,100,NA,NA,01130230,01130232,NA,NA,NA,Both,twining,twining,NA,NA,NA,NA,-79.8527388155922,9.15211636969199,completed
614,24,198411,Tachigali versicolor,1310,198411,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8527629930235,9.15299045333524,NA
190,24,198486,Trichilia tuberculata,1311,198486,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8528476168445,9.15327125585253,completed
234,24,198534,Vochysia ferruginea,1311,198534,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8527295490255,9.15318653593474,NA
305,24,198553,Trichilia pallida,1311,198553,5,NA,NA,NA,NA,NA,NA,NA,Both,twining,twining,twining,NA,NA,NA,-79.8527305600748,9.15325986835891,completed
585,19,206247,Prioria copaifera,1107,206247,100,NA,NA,03110,NA,NA,NA,NA,Both,scrambling,twining,prehensile_branches,twining,twining,NA,-79.8531414234346,9.15256951329425,completed
22,19,206350,Jacaranda copaia,1108,206350,0,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,NA,NA,NA,NA,NA,-79.8532183129347,9.15276136273146,completed
401,19,206382,Apeiba membranacea,1108,206382,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8531900568511,9.15278750791031,NA
21,19,206389,Jacaranda copaia,1108,206389,0,NA,NA,NA,NA,NA,NA,NA,Direct,scrambling,twining,NA,NA,NA,NA,-79.8531882678817,9.15273586499649,completed
289,19,206404,Protium tenuifolium,1108,206404,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8531890448115,9.15268883809375,NA
395,19,206412,Tachigali versicolor,1108,206412,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8531625402799,9.15266618122266,NA
53,19,206437,Ocotea cernua,1108,206437,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8531473473772,9.15281042657397,NA
54,20,207696,Ocotea cernua,1114,207696,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8531301831891,9.15377082059136,NA
581,20,207820,Pouteria reticulata,1115,207820,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8531546173578,9.15395266624749,NA
