tag6,species,infestation_type,dominant_mode,dominant_class,crown_depth,pa,crown_vol,height,dbh_2019,dbh_cm,log_dbh,log_depth,log_area,log_vol,log_height
002680,Alseis blackiana,Both,adhesive_roots,Active,16.82299911975858,31.871122000000213,148.88579737899104,20.22399902343748,358.7792355891723,35.87792355891723,3.5801221636909073,2.822746945413333,3.461700333331987,5.003179551520717,3.0068699696771377
002683,Trichilia tuberculata,Both,twining,Active,17.434,106.537240500001,580.915775951667,25.685,426.8099739229024,42.68099739229024,3.753753795239465,2.8584223225893846,4.668494600083403,6.364605782405013,3.245907163919231
002860,Gustavia superba,Direct,adhesive_roots,Passive,9.178000450134247,11.305623500000124,30.69750961823397,15.20900022983549,242.28818163085376,24.228818163085375,3.187542757868547,2.2168093650175575,2.425300256796447,3.42418153137552,2.7218873730020396
003120,Alseis blackiana,Both,adhesive_roots,Passive,12.64,64.3977299999999,178.773803905333,23.251,384.43704710434,38.443704710434005,3.6491949559002723,2.5368663887187113,4.16507838404186,5.186121341409116,3.1463481418611177
003554,Alseis blackiana,Both,adhesive_roots,Active,15.081,65.5640065000007,331.944337440333,22.002,468.1717424223339,46.81717424223339,3.8462501065941095,2.7134356733785476,4.183026863966891,5.804967296548012,3.091133358317244
003612,Alseis blackiana,Both,adhesive_roots,Active,21.926,164.177784,1373.7477590785,33.186,545.9796282412533,54.59796282412533,3.9999965711413346,3.087673147252348,5.100949889448106,7.225297874472461,3.502128100240596
003685,Gustavia superba,Direct,twining,Active,10.0120000839233,36.8074330000005,112.080261065552,18.5130001306534,246.76540746185648,24.676540746185648,3.205853024958221,2.303784381951799,3.605699808474591,4.7192152313046964,2.918473195064426
003731,Alseis blackiana,Direct,adhesive_roots,Passive,16.909999370575,33.393863000000216,162.75304846895847,21.969999510794928,297.8130968891281,29.781309688912806,3.393881005097178,2.8279051256884302,3.5083721405849673,5.09223401190532,3.0896778641295604
004350,Prioria copaifera,Both,prehensile_branches,Active,24.824,262.8753995,2138.619001685,37.294,955.4745918669556,95.54745918669556,4.559623078880034,3.2118109271460793,5.571680153755423,7.667915573387825,3.6188324558019014
004352,Quararibea asterolepis,Both,prehensile_branches,Active,8.7630004882813,9.96040350000001,33.997610071832,23.1730007529259,540.9057373860301,54.090573738603005,3.9906599329375076,2.170538367794504,2.29861758282411,3.5262902301406216,3.142987840327259
004521,Quararibea asterolepis,Direct,prehensile_branches,Active,19.133,128.529565,873.159731374833,31.786,566.7998398376566,56.67998398376566,4.037421132249498,2.9514145929028657,4.856158955692443,6.772118507458986,3.459025941274628
005215,Prioria copaifera,Both,adhesive_roots,Passive,26.993,268.787736999999,1591.12557326883,41.994,1219.9042938069792,121.99042938069792,4.803942593956878,3.295577573131578,5.593921986328547,7.372196952482044,3.7375267509354577
005219,Trichilia tuberculata,Both,adhesive_roots,Passive,16.791,130.881298,500.705888517167,26.952,453.8434313835835,45.384343138358346,3.8151671807738947,2.820843028577332,4.8742907902869215,6.216018879836281,3.294057506104252
005540,Alseis blackiana,Both,adhesive_roots,Passive,21.893,104.843755000001,494.822184869167,28.625,485.73523494470993,48.57352349447099,3.8830785983933094,3.086166951025199,4.652471194296079,6.204198475546306,3.3542804618744038
005636,Quararibea asterolepis,Both,twining,Active,15.21,53.850008,249.468867029,27.631,416.60724306675814,41.66072430667582,3.7295588218236913,2.7219531062712017,3.9862025521632036,5.519334125958827,3.318938330824727
005891,Alseis blackiana,Direct,adhesive_roots,Passive,11.822,85.5606054999999,372.352725700833,25.553,429.9798359367125,42.99798359367125,3.761153221423607,2.469962202402178,4.4492249610942585,5.919841592395292,3.2407547265866428
005895,Alseis blackiana,Both,adhesive_roots,Active,20.099,105.0633045,645.307663422167,28.92,393,39.3,3.6712245188752153,3.0006700625836147,4.654563068486334,6.4697272006223505,3.3645333972905638
005943,Prioria copaifera,Both,adhesive_roots,Passive,14.543,176.4145565,1044.46306834683,35.204,962.8227966938156,96.28227966938155,4.567284290131256,2.677109778195573,5.172836660009386,6.951258222158799,3.5611597125115653
005945,Quararibea asterolepis,Both,prehensile_branches,Active,15.948,129.401612,788.071136268333,31.939,627.8728569167354,62.78728569167354,4.139752595837983,2.7693334295191088,4.8629208394853425,6.669588360235585,3.463827833592919
005993,Prioria copaifera,Direct,adhesive_roots,Passive,20.01,169.782973500001,1023.1635159815,29.425,720.2641024769785,72.02641024769784,4.277032860753885,2.996232148595642,5.134520994997904,6.9306545928477385,3.3818446531463406
006561,Alseis blackiana,Direct,adhesive_roots,Active,11.365,113.155079500001,360.700657838333,24.336,426.3132526459441,42.63132526459441,3.7525893178987513,2.4305384573045066,4.728759262808584,5.888048411690289,3.191956735516937
006707,Alseis blackiana,Both,scrambling,Passive,11.55999946594238,77.31128450000034,306.1613527138019,21.270999707281582,387,38.7,3.655839600035736,2.447550817045474,4.347839928121279,5.724112259430791,3.0573446289201285
006745,Alseis blackiana,Both,adhesive_roots,Passive,26.178,147.8618125,1018.29639524467,34.128,687.5286047056038,68.75286047056038,4.230518342525655,3.2649193633695277,4.996278138271055,6.925886309197545,3.530118161728995
007598,Trichilia tuberculata,Both,adhesive_roots,Passive,19.969,107.997147000001,660.843972329333,29.42,423.9023478102915,42.39023478102915,3.7469180239439033,2.9941810710612544,4.682104810108636,6.4935177640747295,3.3816747151732915
008209,Alseis blackiana,Direct,adhesive_roots,Passive,10.2969996929169,30.6068884999999,94.9206117042207,14.5179996192456,506.5507298011323,50.65507298011323,3.9250393832333215,2.331852560852034,3.421225098002977,4.553040875965474,2.6753892326362814
008517,Trichilia tuberculata,Direct,adhesive_roots,Passive,14.251,33.0067395,107.671863008333,25.282,399.80626123977186,39.98062612397719,3.6883949898795176,2.656827079691075,3.496711767887657,4.679088296625205,3.230092680073366
077147,Prioria copaifera,Both,hooks,Active,13.546,68.0279555,471.856047939167,23.726,482.9999047393605,48.29999047393605,3.8774313634315107,2.606091300792712,4.2199187309875414,6.156673955888996,3.1665714932389113
092320,Quararibea asterolepis,Both,scrambling,Active,11.253,91.871125,338.242741065333,26.734,474.02675838185087,47.40267583818509,3.8586786793900467,2.42063475976786,4.5203867797727835,5.823763806555532,3.285936163549281
099474,Alseis blackiana,Both,adhesive_roots,Passive,8.836000442504929,4.885330499999987,20.941793306032455,11.047000341117428,227.21174752577568,22.721174752577568,3.123297298175483,2.1788343356376485,1.586236939296245,3.0417468419871514,2.4021589287688765
104694,Gustavia superba,Both,scrambling,Passive,12.17000055313114,16.99740599999997,61.306657782229216,19.081000749021804,232.02850428315065,23.202850428315067,3.144275134414631,2.4989739524498162,2.8330607441781512,4.11588844686884,2.9486931148030546
141568,Heisteria concinna,Direct,prehensile_branches,Active,11.0189998149872,81.7261640000002,302.884943066014,16.4149997234345,276.2402426142418,27.624024261424182,3.3186858383606976,2.399621038715296,4.403374195396581,5.713353007540511,2.798195534105216
181662,Alseis blackiana,Both,scrambling,Passive,9.31099987030026,5.313785500000283,7.207404084799161,18.74100005626675,288.9864113947444,28.89864113947444,3.363794574617592,2.23119648297666,1.6703044814495924,1.9751088427483807,2.9307136401818767
197469,Quararibea asterolepis,Both,twining,Active,15.3329992294311,48.5823269999997,328.824089006782,23.7529993653297,332.527335488227,33.2527335488227,3.50413697571731,2.730007318198665,3.883259822797357,5.795522923901014,3.167708811573371
206247,Prioria copaifera,Both,prehensile_branches,Active,18.59,36.8620130000003,149.941465967667,29.434,399,39.9,3.686376323895818,2.922623801733353,3.6071815627960797,5.010244991055712,3.382150468741921
213134,Trichilia tuberculata,Both,adhesive_roots,Passive,14.781,73.8157364999998,413.756427886333,29.161,476.8204439915724,47.68204439915724,3.864554899336984,2.693342572229936,4.301571940583092,6.025277462247533,3.372832200105259
