tag6,species,sbpltnm,height_2011,dbh_2011,log_height_2011,log_dbh_2011,slenderness_2011,log_slender_2011,lianas_2011,lianas_2012,lianas_2019,h2_2011_category,gained_by_2019
133250,CECRIN,NA,22.9,280.30839474106597,3.131136910560194,3.33330531385797,0.8169573380473961,-0.20216840329777624,0,0,0,remained uninfested,0
138650,CECRIN,NA,23.2,199.7312948650118,3.1441522786722644,2.994387844539233,1.1615605864709233,0.14976443413303145,0,0,0,remained uninfested,0
405283,CECRIN,NA,24.3,395.1104868496713,3.190476350346503,3.676580346338008,0.615017844597111,-0.4861039959915052,0,0,0,remained uninfested,0
613049,CECRIN,23,24.5,292.1973976361921,3.1986731175506815,3.374844500178144,0.8384742710988945,-0.17617138262746268,0,0,0,remained uninfested,0
633195,CECRIN,68,24.8,338.55905114320444,3.2108436531709366,3.5221134336066835,0.7325162306622263,-0.31126978043574716,0,0,0,remained uninfested,0
719031,CECRIN,NA,27,256.95871256025623,3.295836866004329,3.2463303274788244,1.0507524625641391,0.049506538525504885,0,0,0,remained uninfested,0
004088,CECRIN,NA,30.2,402.6199150659446,3.407841924380824,3.695407885123221,0.7500870888379572,-0.2875659607423968,0,0,0,remained uninfested,0
004137,CECRIN,NA,30.4,315.87362508687784,3.414442608412176,3.4527571199921456,0.9624102041327062,-0.0383145115799697,0,0,0,remained uninfested,0
039052,CECRIN,NA,30.5,276.7757621620033,3.417726683613366,3.3206225624718493,1.101975106553862,0.09710412114151647,0,0,0,remained uninfested,0
054145,CECRIN,NA,30.7,369.30827772660996,3.4242626545931514,3.6090466432534245,0.831283831193366,-0.18478398866027312,0,0,0,remained uninfested,0
080756,CECRIN,NA,31.4,458.16235103372753,3.4468078929142076,3.824638506547151,0.6853465792017576,-0.37783061363294357,0,0,1,gained infestation,1
719036,CECROB,NA,22.2,211.66213973832683,3.100092288878234,3.052406229938807,1.0488413292734053,0.04768605893942676,0,0,0,remained uninfested,0
002307,CEIBPE,NA,22.8,460.04335608359594,3.126760535960395,3.828735644403264,0.4956054619307868,-0.701975108442869,0,0,0,remained uninfested,0
005444,CEIBPE,NA,32.7,924.6210881110915,3.487375077903208,4.5267989261207635,0.35365838417986806,-1.0394238482175553,0,0,1,gained infestation,1
005027,CEIBPE,NA,36,1290.4009018211996,3.58351893845611,4.860123132686207,0.27898306603158457,-1.2766041942300967,0,1,0,remained uninfested,0
004722,CEIBPE,NA,36.9,970.447026872473,3.6082115510464816,4.5751717247893575,0.38023713791900826,-0.966960173742876,0,1,0,remained uninfested,0
007772,CEIBPE,NA,39.9,1481.9174669132224,3.686376323895818,4.998507020969266,0.26924576361941516,-1.312130697073449,0,0,0,remained uninfested,0
004146,CEIBPE,NA,41.1,1524.379261555952,3.716008121502189,5.0267574715808925,0.2696179424407069,-1.310749350078703,0,1,0,remained uninfested,0
001993,CEIBPE,NA,41.1,2158.497546970914,3.716008121502189,5.374582585550025,0.190410223341124,-1.658574464047836,0,1,0,remained uninfested,0
028183,CHIMPA,94,22.3,204.88594744723304,3.104586678466073,3.0198683774061594,1.0884104194477862,0.08471830105991343,0,1,0,remained uninfested,0
000673,CHR2CA,91,34.6,829.7825981322371,3.543853682063679,4.4185786435257945,0.4169766885673592,-0.8747249614621156,0,1,0,remained uninfested,0
257823,CORDAL,NA,26.9,274.7401105631315,3.292126286607793,3.313240505331161,0.9791071258165904,-0.02111421872336767,0,0,0,remained uninfested,0
258071,CORDAL,NA,28.3,374.8258372942142,3.342861804649192,3.62387639121145,0.7550173222927083,-0.28101458656225814,0,0,0,remained uninfested,0
173632,CORDBI,NA,16.4,233.0511018815925,2.797281334830153,3.1486726579044624,0.7037083226636033,-0.3513913230743097,0,4,4,gained infestation,1
217175,CORDBI,NA,20.3,215.72670010050723,3.0106208860477417,3.0714272362384674,0.9410054476586448,-0.06080635019072553,0,0,0,remained uninfested,0
236664,CORDBI,NA,23.3,262.7118826803086,3.1484533605716547,3.2684728355648742,0.8869031641158589,-0.12001947499321923,0,3,0,remained uninfested,0
